"","aphanotorulus_emarginatus19719","hemiancistrus_cerrado66643","hemiancistrus_fuliginosus61299","hypancistrus_sp61759","hypostomus_cf_gymnorhynchus80910","hypostomus_cfhemicochliodon64160","hypostomus_faveolus27640","hypostomus_melanephelis54012","hypostomus_sp50059","hypostomus_sp55539","hypostomus_sp76321","hypostomus_strigaticeps61230","panaqolus_gnomus57729","panaqolus_sp57507","panaqolus_sp61753","peckoltia_braueri69540","peckoltia_compta61756","peckoltia_snethlageae57059","pterygoplichthys_anisitsi26686","scobinancistrus_aureatus61467","spectracanthicus_immaculatus43225","12|34","13|24","14|23","p_T3",""
"120",1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,57.6666666666667,51.6666666666667,806.666666666667,0.565992699405813,7.41473041350751e-269
"121",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,66.6666666666667,53.6666666666667,788.666666666667,0.23552488191118,2.39963223614995e-254
"122",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,56,54,814,0.848762384622043,1.7040840185526e-271
"123",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,56.3333333333333,49.3333333333333,673.333333333333,0.495731605988746,2.13669656628549e-215
"124",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,99,102,452,0.832413169330133,6.66656564705214e-83
"125",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,59.3333333333333,53.3333333333333,645.333333333333,0.571801321508352,1.6477223296125e-199
"126",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,72.6666666666667,74.6666666666667,684.666666666667,0.869122623921691,1.34630306365069e-195
"127",1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,64,34,684,0.00225090404740276,4.88164493931554e-225
"128",1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,61,41,693,0.0469522476044562,4.76639144071367e-226
"129",1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,60,35,691,0.0098762875218652,8.6995706920953e-230
"130",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,64,34,688,0.00225090404740276,1.03363940617254e-226
"131",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,62,38,698,0.0158754321874455,1.7421921740041e-229
"132",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,61,35,564,0.00757882172772625,2.91133788722453e-176
"133",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,83,82,375,0.93794726730094,1.55190394339038e-69
"134",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,58,42,581,0.108836026693818,1.15457329695071e-180
"135",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,66.3333333333333,58.3333333333333,597.333333333333,0.473532096708424,6.34217067727236e-173
"136",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,893.666666666667,61.6666666666667,55.6666666666667,0.579556586024861,3.03390434041106e-300
"137",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,904.333333333333,41.3333333333333,60.3333333333333,0.0587689260760522,2.52849527432368e-315
"138",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,853,72,77,0.682059474739856,2.03119029290983e-263
